CGATS.17

ORIGINATOR	i1Profiler - X-Rite, Inc.
INSTRUMENTATION	i1Pro ; Serial number 850763
DESCRIPTOR	차트 917 패치v
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	D50
OBSERVER_ANGLE	2
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	DEVCALSTD
DEVCALSTD	XRGA
CREATED2025-11-24 22:18:11

NUMBER_OF_FIELDS	49
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	LAB_C	LAB_H
END_DATA_FORMAT

NUMBER_OF_SETS	917
BEGIN_DATA
173	D4	0	127	191	0.11148	0.14253	0.25878	44.59	-17.59	-31.41	36	240.74
174	D5	206	206	221	0.49993	0.51556	0.48475	77.01	0.76	-7.13	7.17	276.05
175	D6	0	127	224	0.12921	0.15509	0.34718	46.32	-12.77	-42.41	44.29	253.24
176	D7	191	191	206	0.41993	0.43614	0.38712	71.97	-0.18	-3.73	3.73	267.18
177	D8	0	160	94	0.0832	0.11484	0.13283	40.38	-22.08	-11.58	24.94	207.68
178	D9	0	0	206	0.08256	0.07745	0.14655	33.45	7.25	-27.17	28.12	284.94
179	D10	0	191	63	0.07649	0.11276	0.09431	40.04	-26.71	-0.44	26.72	180.93
180	D11	0	244	255	0.19991	0.27176	0.47098	59.14	-27.93	-36.35	45.85	232.46
181	D12	0	224	0	0.11372	0.17836	0.0865	49.3	-36.25	18.28	40.6	153.24
182	D13	10	255	255	0.20836	0.2895	0.44841	60.74	-30.72	-30.9	43.57	225.16
183	D14	0	224	30	0.09045	0.14906	0.09378	45.5	-37.92	9.17	39.02	166.41
184	E1	175	191	191	0.37466	0.39449	0.34143	69.08	-1.85	-2.35	2.99	231.84
185	E2	0	224	63	0.08477	0.13836	0.10884	44	-36.28	1.64	36.32	177.41
186	E3	160	175	175	0.32965	0.34674	0.29918	65.49	-1.65	-2.1	2.67	231.91
187	E4	0	255	0	0.14191	0.23961	0.11001	56.05	-46.56	22.05	51.52	154.66
188	E5	142	158	158	0.27911	0.29313	0.25174	61.06	-1.39	-1.78	2.26	232.04
189	E6	0	255	30	0.1054	0.18504	0.11782	50.1	-45.86	9.44	46.82	168.37
190	E7	45	61	61	0.08007	0.08394	0.07645	34.79	-0.78	-2.93	3.03	255.01
191	E8	0	160	255	0.1504	0.17594	0.47034	49	-11.02	-53.75	54.87	258.41
192	E9	30	45	45	0.06728	0.06964	0.06243	31.72	0.14	-2.3	2.31	273.4
193	E10	0	160	224	0.13152	0.16525	0.36849	47.66	-17	-43.12	46.35	248.49
194	E11	45	45	61	0.0732	0.0727	0.06642	32.41	3.03	-2.88	4.18	316.47
195	E12	0	224	255	0.21341	0.27319	0.57678	59.27	-21.99	-47.72	52.54	245.26
196	E13	94	109	109	0.16556	0.17229	0.14188	48.55	-0.31	0.08	0.32	166.24
197	E14	0	255	224	0.16654	0.24852	0.33635	56.93	-35.91	-22.54	42.4	212.12
198	E15	79	94	94	0.13755	0.14241	0.11649	44.58	0.14	0.31	0.34	64.7
199	E16	30	224	224	0.17331	0.2354	0.3347	55.62	-26.55	-24.55	36.16	222.76
200	E1	48	0	255	0.12882	0.10575	0.23761	38.85	19.16	-37.49	42.11	297.07
201	E2	0	160	127	0.08902	0.12171	0.16628	41.49	-21.8	-18.14	28.36	219.76
202	E3	0	48	255	0.11487	0.10712	0.28981	39.09	8.57	-46.12	46.91	280.53
203	E4	0	191	94	0.08502	0.12259	0.1312	41.63	-25.84	-8.99	27.36	199.19
204	E5	0	0	232	0.09712	0.08697	0.20443	35.39	11.11	-37	38.63	286.72
205	E6	0	191	127	0.0962	0.13761	0.18576	43.89	-26.24	-18.41	32.05	215.05
206	E7	0	20	255	0.10939	0.09743	0.25801	37.38	11.98	-43.71	45.33	285.32
207	E8	0	224	94	0.09447	0.14966	0.14958	45.59	-34.96	-7	35.65	191.33
208	E9	20	0	255	0.11955	0.10362	0.25135	38.49	14.47	-40.63	43.13	289.6
209	E10	0	191	160	0.10182	0.14406	0.2182	44.81	-25.78	-23.52	34.9	222.38
210	E11	0	10	255	0.10963	0.09706	0.25074	37.31	12.45	-42.55	44.33	286.31
211	E12	0	224	127	0.10576	0.16355	0.21095	47.44	-34.09	-17.56	38.35	207.25
212	E13	10	0	255	0.11313	0.09818	0.24814	37.51	14.11	-41.72	44.05	288.69
213	E14	0	224	160	0.11126	0.16763	0.25091	47.96	-32.27	-24.21	40.34	216.88
214	E15	30	30	45	0.06695	0.06634	0.05909	30.96	3.1	-2.09	3.73	326.01
215	E16	0	255	63	0.09575	0.16711	0.12276	47.89	-43.86	4.19	44.06	174.55
216	E1	142	142	158	0.26567	0.27471	0.23649	59.41	0.32	-1.85	1.87	279.97
217	E2	0	255	94	0.10113	0.1742	0.14531	48.78	-43.45	-0.4	43.45	180.53
218	E3	63	63	79	0.10499	0.10333	0.09131	38.43	4.14	-2.17	4.67	332.36
219	E4	0	255	127	0.12234	0.19967	0.20379	51.8	-40.99	-8.58	41.88	191.83
220	E5	224	239	224	0.64636	0.68952	0.54919	86.48	-4.13	2.07	4.62	153.34
221	E6	0	255	160	0.14533	0.22769	0.26173	54.83	-39.23	-14.27	41.74	199.98
222	E7	206	221	206	0.51792	0.5536	0.43816	79.25	-4.11	2.27	4.69	151.09
223	E8	0	255	191	0.16474	0.24882	0.31246	56.96	-37.04	-18.9	41.58	207.03
224	E9	0	206	0	0.10659	0.15316	0.07615	46.06	-27.55	16.63	32.18	148.88
225	E10	30	0	63	0.06189	0.05654	0.0548	28.52	8.28	-4.23	9.3	332.97
226	E11	160	160	175	0.31736	0.3279	0.2852	63.99	0.43	-2.44	2.48	280.08
227	E12	30	0	94	0.06909	0.06213	0.06921	29.94	9.65	-8.33	12.75	319.18
228	E13	0	255	48	0.10042	0.17579	0.12353	48.98	-44.85	5.84	45.23	172.58
229	E14	30	0	127	0.07223	0.06506	0.08266	30.66	9.67	-12.44	15.76	307.86
230	F1	48	255	0	0.19658	0.31156	0.10552	62.64	-44.68	34.83	56.65	142.07
